,dateTime,stationName,tideValue
444,2021-09-20T02:30:00Z,Newhaven,-1.057
445,2021-09-20T02:30:00Z,Portrush,-0.462
446,2021-09-20T02:30:00Z,Sheerness,0.635
447,2021-09-20T02:30:00Z,Portpatrick,-0.163
448,2021-09-20T02:30:00Z,Portsmouth,-0.689
449,2021-09-20T02:30:00Z,Bournemouth,-0.796
450,2021-09-20T02:45:00Z,Bangor,-0.958
451,2021-09-20T02:45:00Z,Dover,-0.599
452,2021-09-20T02:45:00Z,St+Marys,1.64
453,2021-09-20T02:45:00Z,Lowestoft,-0.484
454,2021-09-20T02:45:00Z,Lerwick,-0.55
455,2021-09-20T02:45:00Z,Newlyn,1.665
456,2021-09-20T02:45:00Z,Milford+Haven,0.108
457,2021-09-20T02:45:00Z,Aberdeen,1.061
458,2021-09-20T02:45:00Z,Weymouth,-0.585
459,2021-09-20T02:45:00Z,Ilfracombe,0.67
460,2021-09-20T02:45:00Z,Kinlochbervie,-0.813
461,2021-09-20T02:45:00Z,Plymouth,0.911
462,2021-09-20T02:45:00Z,Jersey,-0.939
463,2021-09-20T02:45:00Z,Tobermory,0.478
464,2021-09-20T02:45:00Z,Ullapool,-0.55
465,2021-09-20T02:45:00Z,Newport,-1.927
466,2021-09-20T02:45:00Z,Wick,-0.543
467,2021-09-20T02:45:00Z,Avonmouth+Portbury,-2.425
468,2021-09-20T02:45:00Z,Mumbles,0.023
469,2021-09-20T02:45:00Z,Leith,2.289
470,2021-09-20T02:45:00Z,North+Shields,2.433
471,2021-09-20T02:45:00Z,Holyhead,-2.011
472,2021-09-20T02:45:00Z,Millport,-0.011
473,2021-09-20T02:45:00Z,Immingham,1.346
474,2021-09-20T02:45:00Z,Llandudno,-2.128
475,2021-09-20T02:45:00Z,Cromer,0.16
476,2021-09-20T02:45:00Z,Whitby,2.585
477,2021-09-20T02:45:00Z,Fishguard,-0.81
478,2021-09-20T02:45:00Z,Workington,-1.14
479,2021-09-20T02:45:00Z,Port+Erin,-1.237
480,2021-09-20T02:45:00Z,Harwich,-0.28
481,2021-09-20T02:45:00Z,Barmouth,-1.676
482,2021-09-20T02:45:00Z,Newhaven,-1.346
483,2021-09-20T02:45:00Z,Portrush,-0.39
484,2021-09-20T02:45:00Z,Sheerness,0.341
485,2021-09-20T02:45:00Z,Portsmouth,-1.011
486,2021-09-20T02:45:00Z,Bournemouth,-0.85
487,2021-09-20T02:30:00Z,Llandudno,-1.832
488,2021-09-20T03:00:00Z,Bangor,-1.113
489,2021-09-20T03:00:00Z,Dover,-0.853
490,2021-09-20T03:00:00Z,St+Marys,1.836
491,2021-09-20T03:00:00Z,Lowestoft,-0.472
492,2021-09-20T03:00:00Z,Lerwick,-0.634
493,2021-09-20T03:00:00Z,Newlyn,1.844
494,2021-09-20T03:00:00Z,Milford+Haven,0.466
495,2021-09-20T03:00:00Z,Aberdeen,0.856
496,2021-09-20T03:00:00Z,Weymouth,-0.469
497,2021-09-20T03:00:00Z,Ilfracombe,1.151
498,2021-09-20T03:00:00Z,Kinlochbervie,-0.631
499,2021-09-20T03:00:00Z,Stornoway,-0.397
500,2021-09-20T03:00:00Z,Plymouth,1.106
501,2021-09-20T03:00:00Z,Jersey,-0.33
502,2021-09-20T03:00:00Z,Tobermory,0.705
503,2021-09-20T03:00:00Z,Ullapool,-0.289
504,2021-09-20T03:00:00Z,Newport,-1.341
